Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
860 Rogers|Rogers.|Rogers.|Blocky 4-lobed fruit that matures from green to yellow.|Valiant, Excaliber, Orobelle.||Tobacco Mosaic Virus, Potato Virus Y, Stip.|
Acapulco|Vilmorin.|Vilmorin.|blocky bell pepper, green ripening to red. 1993.||||F1 hybrid.
Ace||Johnny's Selected Seeds.|blocky, green ripening to red bell pepper, 3- to 4-lobed, small-medium sized fruit, early, good cold weather tolerance, high yields, mature in 50 days.|||blossom drop. 1997.|F1 hybrid.
Aconcagua|||Cubanelle-shaped, but much larger fruit; long frying pepper named for Mt.Aconcagua in Argentina; tapered, yellow/green turning to red, very sweet when light green, medium thick flesh, pendant, 710-760 mm plants, dark green foliage gives fruit excellent coverage, continuous fruiting, ripens in 70-75 days. Garden Seed Inventory. 1992.||||
Adele||Enza Zaden B.V.|blocky, green ripening to yellow bell pepper, steady growing, high yields, early.|||tobacco mosaic virus races 0, 1, 2. 1995.|F1 hybrid.
Aji (V6090)||Plants of the Southwest.|thin, 80-127 mm long, orange turning to red pods, fruity taste, very hot. 2000.||||
Aladdin X3R|Petoseed Co.|Stokes Seed Co.|dark green ripening to golden yellow bell pepper, concentrated fruit set, 120 x 120 mm fruit size, 76 days.|||tobacco mosaic virus, bacterial leaf spot races 1, 2, 3. 1997.|F1 hybrid.
Alberto||DeRuiter Seeds.|blocky, green ripening to red bell pepper, large fruit size, vigorous open plant habit, easy setting under high temperatures.||Mediterranean climates. 1993.|stip.|
Alborado (24246)|John Bill.|Seminis-Petoseed.|early, sweet, half long bell pepper, green maturing to red, good yields.||South American summer/fall greenhouse production. 1999.|bacterial leaf spot races 1, 2, 3, tobacco mosaic virus.|
Allbig (Illinois F-5)|University of Illinois, Urbana.|F.H. Woodruff Co. and Corneli Seed Co.|Open-pollinated, bell pepper, relatively early, large fruited, three- to four-lobed, 132 to 127 mm, 88 to 102 mm wide, thick walls, high yield, excellent flesh quality and flavor, compact plant, heavy foliage. Bears fruit continuously under most environmental conditions, over a long season, crown set doesn't inhibit subsequent fruit set.|Ruby King.|Florida, Texas, and the midwestern and eastern United States. 1945.|Some tolerance to Mosaic.|
Alliance (HMX 2643)|Harris Moran.|Harris Moran.|sweet pepper; extra large fruit are block with green to red color.||U.S. 2003.|cucumber mosaic virus; pepper mottle virus; potato virus Y races 0, 1, 1-2; Xanthomonas vesicatoria races 1, 2, 3, 4, 5; Phytophthora capsici.|F1 hybrid.
Amando (Nun 6040)|Nunhems Zaden.|Nunhems Zaden.|Cayenne fruit type, elongated fruit length 160-180 mm, dark green color turning dark red on ripening, very hot. 1990.||||
Amarillo Royale (FMX 1297)|Clause/Tezier France.|Harris Moran Seed Co.|yellow blocky bell Pepper with uniform fruit and thick walls (6-8 mm).|Chalice.|western U.S. 2000.||F1 hybrid.
Amigo (SPP9101)|D.Gilbart.|Sakata.|Large, blocky bell.|Bell Captain, Jupiter. 1989.||Tobacco Mosaic Virus.|
Anaheim M (Anaheim Mild)|||a tapered, dark green maturing to red, medium walled, 178 x 44 mm sized New Mexican pod type, mostly 2 celled and flat, fairly mild, ripening in 77-80 days; plants are upright 610 mm tall, bearing fruit continuously. Garden Seed Inventory. 1992.||||
Anaheim TMR 23|Petoseed Co.|Petoseed Co.|Open-pollinated, New Mexican type, erect bush plant, good set, pods straight and smooth, wide shoulder.|New Mexico 6.|general. 1975.|Tobacco Mosaic Virus.|
Anaheim TMR 24|Petoseed Co.|Petoseed Co.|Open-pollinated, New Mexican type, tall, erect plant, sturdy bush, concentrated set of long, straight, smooth pods, high yield.|New Mexico 6.|general. 1975.|Tobacco Mosaic Virus.|
Ancho 101||Johnny's Selected Seeds.|Ancho type chile, 68 days, mild pungency, 100 x 50 mm fruit size, very dark green ripening to dark mahogany red, called poblano at green stage, 2- to 3-lobed, tall and rangy plants, thin wall.||warm climates with cool nights. 1997.||open pollinated.
Ancho Arriero (HMX 2673)|Harris Moran.|Harris Moran.|hot pepper; Ancho type; large dark green fruit for fresh market.||U.S. 2003.||F1 hybrid.
Ancho Real (HMX 1673)|Harris Moran.|Harris Moran.|hot pepper; mainly 2-lobed, flat dark green, very pungent fruit.||U.S. 2003.||F1 hybrid.
Ancho San Juan (PS 13194)|Omar Diaz.|Seminis-Petoseed.|Dark green fruit, large size 2-3 celled, excellent uniformity, mid-maturity, large plant.|Ancho San Martin.|Mexico.||F1 hybrid.
Ancho San Luis||Shepherd's Garden Seeds.|75 to 78 days to harvest, called 'Poblano' when fresh, and 'Ancho' when dried; glossy flattened chiles, ripen from green to a reddish brown, fruit are 100-130 mm long and distinctively heart shaped, plant are vigorous and grow to about 760 mm tall. 1999.||||
Ancho San Martin (PS 13994)|John Bill.|Seminis Vegetable Seeds-Petoseed.|ancho type, dark green to red fruit, better yield, and larger fruit than open pollinated cultivars.|Ancho San Luis.|Mexico. 1999.||F1 hybrid.
