Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
A.B. Exporter|Waldo Rohnert Company, Gilroy, California.|Waldo Rohnert Company, Gilroy, California.|extra tight scale, dark color, long keeping.|Australian Brown.|western United States areas. 1958.||Australian Brown.
Abundance|USDA, Agric. Expt. Sta., Ames, Iowa, and Idaho Agric. Expt. Sta. Moscow.||F1 hybrid, large plant size, not glossy foliage, medium maturity; Bulb large, light yellow color, high globe, pungent, soft.|Early Yellow Globe.|northern United Sates. Elmo W. Davis, 16 Apr 1962.||B2108A x B2215C Early Yellow Globe inbred x Brigham Yellow Globe inbred.
Adonis (FMX 349)|Ferry-Morse.|Ferry-Morse.|excellent yield, yellow semi-flat Grano onion, very vigorous, mid maturity.|Henry's Special.||pink root.|
Alabaster (Sunex 1458)|R.Watson.|Sunseeds.|bright white outer scales, intermediate day.|Midstar. 1994.||pink root.|
Albion|Bejo.|Bejo.|hybrid white onion for short term storage, dehydration, or fresh market. 1989.||||
Antelope (230W5)|E.Wheeler.|Ferry-Morse.|early maturing, high yields, attractive bronze skins, mild, sweet, short storage.|Progress. 1985.|||
Apache|Golden Valley.|Golden Valley.|Spanish Red Globe type with good storage. 1991.||||
Apache (61-3)|Ferry-Morse Seed Company, Mountain View, California.||F1 hybrid, bulbs large, globular with dark brown outer shell; late.|Hybrid Yellow Globe.|long photoperiod areas. Ferry-Morse Seed Company, 2 July 1963.||B2264A x F-M inbred.
Apache Chief (V)|Ferry-Morse Seed Co.|Ferry-Morse Seed Co.|F1 hybrid, 1 - 2 days earlier, more attractive, with better scales than Hybrid Apache.|Hybrid Apache. 1977.|||
Apex (PSX 72488)|R.Engle.|Petoseed.|block shape, good quality colossals. 1991.||||
Aranex (Granex 7092; PS 7092)|Seminis-Petoseed.|Seminis-Petoseed.||Savannah Sweet, Granex 33.|Georgia, Brazil, Chile, Caribbean. 1999.|pink root.|F1 hybrid.
Aries (XP 75)|Asgrow Seed Co.|Asgrow Seed Co.|F1 hybrid, early, medium large, globe shaped type, firm flesh with good storage characteristics; firm, trim necks, and light scales.|Autumn Spice.|northeastern and midwestern United States and Canada. 1978.|one or more races of pink root.|
Aristocrat Hybrid|USDA, Ohio, Idaho, and Iowa Agric. Expt. Stns.||F1 hybrid, uniformity of size, shape, and color; high yield, excellent storage quality.|Brigham Yellow Globe.|northern United States, from Oregon to New York. Robson, 1953. 1955.||B2218A x B2215C, both Brigham Yellow Globe inbred.
Armada (XPH 428)|Asgrow Seed Co.|Asgrow Seed Co.|main season Spanish type with high yields and high percentage of jumbos. Possible field tolerance to pink root.|Spanish types. 1981.|||F1 hybrid, Idaho Agric. Expt. Sta. and Asgrow inbreds.
Armory (XP 77008)|Omar Diaz.|Seminis-Asgrow.|second early, long day storage onion, 100 days, tall globe shaped, medium to dark skin.|Barrage.|Canada, Northeast U.S., Michigan, Wisconsin. 2001.|fusarium.|F1 hybrid.
Aspen (PS93490)|R.Engle.|Petoseed.|fresh market, globe shaped white mid day, white short sturdy tops.|Midstar. 1995.||pink root.|
Astro (PS57089)|R.Engle.|Petoseed.|long storage, excellent scales, deep globe shaped, vigorous root system, 3' bulbs, medium dark color, good for mechanical harvest.|Voyager, Spartan Banner 80. 1993.|||
Atlantis (FMX351)|Ferry-Morse.|Ferry-Morse.|yellow short day Grano type that produces large, mild bulbs of a brownish color; mid to late season, very vigorous with fair bolting resistance.|Texas 1015Y, Sweet Rio, Sweet Sixteen.||pink root.|
Atlas (PSX 70287)|R.Engle.|Petoseed.|long day, globe shaped bulbs, jumbos, colossals, light brown scale, white flesh, mild flavor. 1991.||||
Augustus (FMX263W20)|E.Snyder.|Ferry-Morse.|big jumbo bulbs with dark brown skins that will store well, this is a full season maturity onion.|Vega. 1991.||pink root tolerance.|
Aura (XP 174)|Asgrow Seed Co.|Asgrow Seed Co.|open pollinated, used for local market, limited storage, suitable for transplanting.|Rannata di Milano and Durata di Parma.|New York, New Jersey, and Colorado. 1980.|one or more strains of pink root.|
Australian Brown 100|Ferry-Morse Seed Company, Mountain View, California.|Ferry-Morse Seed Company, Mountain View, California.|similar to Australian Brown, but earlier maturing and more uniformly dark colored.||California's coastal areas. Ferry-Morse Seed Company, 15 Apr. 1963.||
Autumn Beauty (Crk XPN 99)|Crookham Co.|Crookham Co.|F1 hybrid, above average storage quality for a Yellow Sweet Spanish, early midseason maturity, uniform large globe-shaped bulbs with brown scales that adhere well in storage; will machine harvest.|Yellow Sweet Spanish.|areas where Sweet Spanish are grown. 1980.||(B2264 x Crk HG7) x Crk G25C.
Autumn Glo (Crk N79)|Crookham Co.|Crookham Co.|mid-early maturity, bulbs uniform for color and shape; small necks, excellent storage quality.|Downing or Brigham Yellow Globe.|areas where Downing and Brigham Yellow Globe are grown. 1978.|none claimed.|F1 hybrid, (W404A x closed B line) x closed pollinator.
Autumn Keeper (Hyb 6)|Crookham Co.||F1 hybrid, excellent storage quality; mid-season maturity; heavy yellowish-brown scales that adhere well throughout the storage period; produces high yields of US no.1 bulbs.|Yellow Globe.|northern long-day onion areas. 1966.||
Autumn Pride (Hyb 4)|Crookham Co.||F1 hybrid, excellent storage quality; late season maturity; uniform size and shape; heavy yielder of United States number 1 bulbs, which are firm with medium yellow-brown scales.|Yellow Globe.|northern long-day onion areas. 1966.||
